Data Medicao,PRECIPITACAO TOTAL, DIARIO (AUT)(mm),PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB),TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C),TEMPERATURA MAXIMA, DIARIA (AUT)(°C),TEMPERATURA MEDIA, DIARIA (AUT)(°C),TEMPERATURA MINIMA, DIARIA (AUT)(°C),UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%),UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%),VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s),VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
2012-04-26,0,915.9,12.2,17.1,13.5,9.2,92.3,77,7.9,2.2,,,,,,,,
2012-04-27,5.6,919.3,8.7,13.5,10.2,7.9,91.1,63,7.4,1.6,,,,,,,,
2012-04-28,.2,918.9,9.4,15.9,10.8,5.6,91.2,75,10.4,2.2,,,,,,,,
2012-04-29,10,919,9.2,13.3,9.8,9.5,95.5,80,13.2,3.1,,,,,,,,
2012-04-30,4,923.8,5.7,9.7,7.3,6.4,90.1,74,9.4,2.4,,,,,,,,
2012-05-01,0,926.1,6.4,13.1,8.1,4.4,89.3,81,7.4,1.5,,,,,,,,
2012-05-02,.2,928,9.2,18.1,12.5,7.1,81.4,55,9.5,3.3,,,,,,,,
2012-05-03,0,929.4,11,22.3,14.3,9.3,81.2,57,11.3,4.3,,,,,,,,
2012-05-04,0,927.9,13.4,23.9,17,13,81.7,47,9.4,2.6,,,,,,,,
2012-05-05,0,926.7,12.4,21.7,16.1,12.2,79.6,53,7.6,2.6,,,,,,,,
2012-05-06,0,926.9,13.1,19.9,15.2,12.9,88,65,5.5,1.3,,,,,,,,
2012-05-07,.2,928.4,13.7,23.6,16.9,13.2,82.8,47,10.4,3.3,,,,,,,,
2012-05-08,0,927.9,13,24.3,17,12.7,78.8,45,7.2,2.5,,,,,,,,
2012-05-09,0,923,12.2,24.1,17.4,13.3,74.2,38,8,3,,,,,,,,
2012-05-10,0,917.9,11.6,22.8,17.3,12.7,70.5,44,10.7,3.3,,,,,,,,
2012-05-11,0,916.7,13.2,18.9,16.3,13.1,81.9,68,7.2,2.6,,,,,,,,
2012-05-12,5.6,916.9,9,15.7,12.5,11.9,79.8,56,11,3.2,,,,,,,,
2012-05-13,0,921.6,3.5,13.8,7.9,2.7,75,46,6.9,1.5,,,,,,,,
2012-05-14,.2,925.2,4.3,14.4,8.5,3.1,76,51,5.3,1.4,,,,,,,,
2012-05-15,0,927,6,17.6,11.5,7.2,70,37,9.6,3.5,,,,,,,,
2012-05-16,0,927.6,9.4,18.4,12.8,9.4,80.5,53,9.2,3.3,,,,,,,,
2012-05-17,0,927.4,9.4,19.4,13.6,10.4,77.5,52,11,4.2,,,,,,,,
2012-05-18,0,926.4,9.7,20.9,14,9,77.3,49,11.1,4,,,,,,,,
2012-05-19,0,925.3,10,19.7,13.7,9.6,79.6,48,11.4,3.6,,,,,,,,
2012-05-20,0,925.3,10.5,21.6,15.2,11.6,75.3,40,9.3,3.2,,,,,,,,
2012-05-21,0,926.6,10.2,21.8,14.7,10.8,76.4,41,7.3,2.2,,,,,,,,
2012-05-22,0,925.2,10.5,21.6,15.2,11.1,74.8,47,8.5,3,,,,,,,,
2012-05-23,0,924.1,11.4,20.9,15.3,11.2,78,54,8.2,2.6,,,,,,,,
2012-05-24,.4,923.7,12.1,18.9,14.7,12.3,84.8,62,5.9,1.4,,,,,,,,
2012-05-25,0,921.5,13,16.4,14.1,12.6,93.2,79,6.3,1.3,,,,,,,,
2012-05-26,0,921.1,12.9,18.5,14.2,11.4,92.3,68,5.8,1,,,,,,,,
2012-05-27,.2,920.8,12.2,21.9,15.3,10.9,83.4,47,7.6,2.4,,,,,,,,
2012-05-28,0,921.3,14.9,23.8,18.7,14.9,79.5,63,8.4,3.1,,,,,,,,
2012-05-29,0,920.7,17.4,25.3,20.6,17.8,82.3,60,10.8,4,,,,,,,,
2012-05-30,40,918.7,13.6,21.4,15.6,13.5,88.3,75,16.6,3.4,,,,,,,,
2012-05-31,1,924,3.7,15.6,9.1,3.4,73.3,29,5.4,.9,,,,,,,,
2012-06-01,0,925.8,3.4,14.3,9.1,4.1,68.9,42,4.3,.9,,,,,,,,
2012-06-02,0,919.8,11.1,19.3,13.1,6.7,87.9,70,10.1,4,,,,,,,,
2012-06-03,28,915.2,9.4,16.5,13.2,10.4,79.2,44,14.3,3.9,,,,,,,,
2012-06-04,.4,917.6,5.5,10.3,7.8,6.9,85.5,67,5.5,1.5,,,,,,,,
2012-06-05,null,921,2.9,9.7,null,1.7,83.1,59,6.7,1.6,,,,,,,,
2012-06-06,null,924.4,.6,11,null,0,71.7,38,9.2,2.8,,,,,,,,
2012-06-07,null,null,null,null,null,1.9,null,45,13.4,null,,,,,,,,
2012-06-08,null,null,null,null,null,null,null,36,5.1,null,,,,,,,,
2012-06-09,null,null,null,null,null,null,60.5,27,6.1,null,,,,,,,,
2012-06-10,0,923.4,7.2,14.8,10.1,4.6,82.6,64,11.4,4.1,,,,,,,,
2012-06-11,2,922,11.2,17.6,12,9.6,95,76,6.1,1.4,,,,,,,,
2012-06-12,.4,922.8,11.9,19.7,13.7,9.9,89.8,70,7.4,2.6,,,,,,,,
2012-06-13,0,923.5,12.6,25.5,18.1,11.7,72.5,41,6.8,2.7,,,,,,,,
2012-06-14,0,923.5,13.7,25.6,19.2,14.6,71.4,52,6.9,2.7,,,,,,,,
2012-06-15,0,922.1,12.2,25.2,19.2,16.1,66.9,26,8.5,2.9,,,,,,,,
2012-06-16,0,921.4,12.2,17.9,13.8,13,90,62,9.3,1.9,,,,,,,,
2012-06-17,6.2,921.2,10.9,18.4,12,8.7,93.3,71,7.6,1.9,,,,,,,,
2012-06-18,34.6,915,13.3,18,14.2,11.2,94.7,84,10.7,3.9,,,,,,,,
2012-06-19,1,918,10.5,13,10.9,10.6,97.6,89,5.4,1.6,,,,,,,,
2012-06-20,1,919.2,8.1,9.5,8.3,7.3,98,98,4.9,1.3,,,,,,,,
2012-06-21,.2,919.9,8.6,17,10.2,6.1,90.7,62,9.1,3.5,,,,,,,,
2012-06-22,.8,919.9,10,12.5,10.7,10.3,95.2,85,8.5,2.6,,,,,,,,
2012-06-23,6.6,927.1,7.8,18,10.4,5.6,86,47,7.3,2.6,,,,,,,,
2012-06-24,.2,926.6,8.6,20.3,12.4,6.8,80.3,46,10,3.7,,,,,,,,
2012-06-25,.2,928.5,9.5,13.5,10,8.6,96.6,78,5.8,1.3,,,,,,,,
2012-06-26,2,927.4,9.4,20.8,13.3,8.8,79.2,48,10.1,4.1,,,,,,,,
2012-06-27,0,926.3,10,24.2,17.3,12,63.8,36,8,3.1,,,,,,,,
2012-06-28,0,924.4,10.7,22.9,17.4,13.9,66,47,11,4.5,,,,,,,,
2012-06-29,0,921.5,12,23.7,17.8,13.6,70,48,12.5,4.9,,,,,,,,
2012-06-30,0,921.5,12.9,22.9,18.8,15.8,69.3,57,10,4.2,,,,,,,,
2012-07-01,0,922.6,11.8,23.4,18.3,14.1,67.6,40,12.4,3.6,,,,,,,,
2012-07-02,0,922.1,11.9,24.8,18.6,13.8,65.9,50,10.7,3.8,,,,,,,,
2012-07-03,0,921.7,11.6,25.8,16.8,11.9,74.3,36,10.6,3.2,,,,,,,,
2012-07-04,0,919,10.8,23.6,18.6,12.4,61.5,40,15.1,4.4,,,,,,,,
2012-07-05,0,919.4,10.5,18.6,13.7,13.1,82.9,59,12.2,2.6,,,,,,,,
2012-07-06,78,918.4,9.4,13.1,9.7,8.6,98.2,95,13.3,3,,,,,,,,
2012-07-07,32,925.2,4.7,5.8,4.8,4.6,99.1,98,10.3,1.6,,,,,,,,
2012-07-08,null,null,null,11.2,null,1.7,88.9,56,5.6,null,,,,,,,,
2012-07-09,0,925.4,5.7,18.1,10.1,3.3,74.8,53,12.6,4.9,,,,,,,,
2012-07-10,.2,919.2,10.7,16.9,13,9,85.9,75,15.1,5.4,,,,,,,,
2012-07-11,10.8,917.1,5.4,10.6,6.3,4.1,93.9,83,9.9,1.7,,,,,,,,
2012-07-12,0,914.7,2.6,8.7,5.5,3,83,49,10.8,2.7,,,,,,,,
2012-07-13,null,918.5,1.1,11.6,6.1,1.2,71.7,49,14.5,3.8,,,,,,,,
2012-07-14,0,924.9,2.6,12.2,7.7,4.7,71.1,53,9.6,2.8,,,,,,,,
2012-07-15,null,null,null,7,null,-.9,83.1,64,6.8,null,,,,,,,,
2012-07-16,null,931.6,4.9,7.2,null,2.6,97.8,91,6.2,1.2,,,,,,,,
2012-07-17,1.6,929.1,6.7,10.9,7.4,5.6,94.8,79,6.9,1.7,,,,,,,,
2012-07-18,14.2,926.5,5.8,7.8,6.3,5.4,96.8,80,6.3,1.7,,,,,,,,
2012-07-19,.2,925.3,4,14.3,7.9,3.1,78.9,40,8,3.4,,,,,,,,
2012-07-20,0,921.9,5.2,17.9,11,5.5,69.7,33,11.3,3.9,,,,,,,,
2012-07-21,0,918.4,6.1,18.8,13,8.8,64.7,40,11.9,4.7,,,,,,,,
2012-07-22,0,922.1,7.8,14.8,11.1,8.5,80.1,66,5.8,1.5,,,,,,,,
2012-07-23,0,922.5,11.1,22.1,15.5,8.4,75.9,60,8.5,3.4,,,,,,,,
2012-07-24,1.4,920.3,12.8,17.1,14,13.8,92.6,72,10.5,3.6,,,,,,,,
2012-07-25,36.4,922.7,5,9.7,5.3,3,98.3,94,8.3,1.5,,,,,,,,
2012-07-26,.2,920.5,8.7,15.9,10,3.1,92.3,54,7.5,2.1,,,,,,,,
2012-07-27,0,924.2,2.5,12.9,7.8,3.5,71.1,45,6.5,1,,,,,,,,
2012-07-28,.2,922.1,9.8,21,12.1,4.7,86.7,58,8.7,3.3,,,,,,,,
2012-07-29,35.2,919.9,11.9,17,12.9,10.4,93.3,82,17.2,3.4,,,,,,,,
2012-07-30,0,930,4.6,8.8,5.9,2.5,91.8,81,10.4,1.8,,,,,,,,
2012-07-31,.8,930.2,9,16.1,11.5,3.7,84.9,69,16.5,6.6,,,,,,,,
2012-08-01,9.6,926.9,12.9,21.7,16.4,11.5,80.7,61,13.9,5.8,,,,,,,,
2012-08-02,0,924,11.6,23,16.7,12.3,74.1,44,13,3.8,,,,,,,,
2012-08-03,0,922.4,11.2,24.7,18.3,13.4,64.8,42,10.5,3.8,,,,,,,,
2012-08-04,0,923.2,12.5,23.1,18,15.4,70.6,51,10.6,3.2,,,,,,,,
2012-08-05,2.6,926.1,11.1,14.8,11.3,11.4,98.6,95,7.3,1.2,,,,,,,,
2012-08-06,.8,925.1,2.9,16.3,9.9,3.6,65,25,6.6,1.7,,,,,,,,
2012-08-07,0,923.4,5.2,22.5,15.1,10.3,54.1,28,9.5,4.1,,,,,,,,
2012-08-08,0,924.6,8.4,22.8,16.2,10.8,60.4,41,10.9,5,,,,,,,,
2012-08-09,0,923.3,13.2,23.2,18.1,14.6,73.6,58,11.6,3.9,,,,,,,,
2012-08-10,0,924.6,13.7,25,17.4,12.6,81.3,43,8,1.6,,,,,,,,
2012-08-11,0,923.6,11.4,25.6,19.6,15.2,60.2,38,8.8,3,,,,,,,,
2012-08-12,0,922.3,11.1,26.4,19.6,14.5,59.6,36,11.9,4.6,,,,,,,,
2012-08-13,0,929.2,11.1,20.1,12.5,10.9,91.3,64,8,1.5,,,,,,,,
2012-08-14,1.2,927.1,9.6,24.4,16.5,10.8,67.5,37,12.9,5,,,,,,,,
2012-08-15,0,925.5,10.5,24.9,18.1,13.4,62.8,41,14.1,5.7,,,,,,,,
2012-08-16,0,925.9,12.1,25,18.7,14.9,67.3,37,11.9,4.4,,,,,,,,
2012-08-17,0,926.2,12.5,26,19.3,15,66.5,40,11.9,5.4,,,,,,,,
2012-08-18,0,926.2,10.9,24.1,18.1,13.8,63.7,44,20,7.5,,,,,,,,
2012-08-19,0,928.5,12.2,22.4,17.3,13.8,72.7,46,9.6,3.9,,,,,,,,
2012-08-20,0,926.5,11.1,24.3,18.4,13.7,64.5,41,11.4,5,,,,,,,,
2012-08-21,0,924.7,13.3,25.3,18.8,15.6,71.9,44,15.9,4.7,,,,,,,,
2012-08-22,0,927.3,12.6,27.3,20.3,14.6,65.2,30,8.4,3.1,,,,,,,,
2012-08-23,0,926.6,7.5,26.7,19.8,14.8,47.7,25,13.4,4.9,,,,,,,,
2012-08-24,0,925.5,8.3,25.7,18.2,11.4,56.3,26,11.9,4.9,,,,,,,,
2012-08-25,3,927.6,9.3,19.8,11.3,10.5,89.3,50,8.8,2.7,,,,,,,,
2012-08-26,24,929,4.7,6.2,4.9,3.9,98.6,98,7.8,1.6,,,,,,,,
2012-08-27,28.8,929.9,6.9,9.7,7.2,4.4,98,98,8,1.6,,,,,,,,
2012-08-28,19.6,929.1,8.6,10.8,8.8,7.1,98,98,6.5,1.3,,,,,,,,
2012-08-29,6.8,927,9.1,11.8,null,7.9,98,95,6.4,1.1,,,,,,,,
2012-08-30,null,926.2,8.8,21.3,13.2,8,77,43,10.3,3.8,,,,,,,,
2012-08-31,0,924.3,10.9,21.7,15.6,10.6,74.8,52,10.4,3.5,,,,,,,,
2012-09-01,0,923.9,13.1,22.8,16.4,12.9,82.1,50,6.9,1.1,,,,,,,,
2012-09-02,.2,924.5,13.2,24.5,17.8,12.3,76.9,45,8.5,2.3,,,,,,,,
2012-09-03,0,929.9,10.6,16.6,12.1,10.5,90.8,74,11.2,2.1,,,,,,,,
2012-09-04,0,927.5,7.2,21.1,13,8.3,69.7,42,15.1,6.6,,,,,,,,
2012-09-05,0,925.6,10.3,24.9,15.4,9.7,73,43,10.8,3.2,,,,,,,,
2012-09-06,0,923.7,12.4,25.4,18,13,71.3,40,8.1,2.5,,,,,,,,
2012-09-07,0,921.4,9.6,31.2,22.9,16.4,44.6,23,12.4,4.7,,,,,,,,
2012-09-08,0,921.1,14.5,27,20.7,18.5,70.2,43,10.9,3.2,,,,,,,,
2012-09-09,2.8,924.6,13,15.9,13.2,12.8,98,92,7,1.3,,,,,,,,
2012-09-10,64.8,921.7,12.3,14,12.6,11.5,97.5,95,12.7,2.8,,,,,,,,
2012-09-11,42,921.5,12.7,15.2,13,11.7,98,98,6.9,1.4,,,,,,,,
2012-09-12,3.6,920.9,12.9,18.9,13.9,11,93.9,76,8.5,2.5,,,,,,,,
2012-09-13,16,924.7,11.8,17.9,13.4,11.1,90.5,68,8.1,1.8,,,,,,,,
2012-09-14,0,923.5,10.9,26.4,17.5,11.5,68.5,32,10.8,4.6,,,,,,,,
2012-09-15,0,922,14,25.4,18.5,13.9,76,58,10,3.8,,,,,,,,
2012-09-16,3.2,921.3,13.4,21.3,17.7,16.5,78,46,14.5,3.6,,,,,,,,
2012-09-17,35.2,918.7,13.9,27.1,18.8,14.5,75.9,44,14.6,4.8,,,,,,,,
2012-09-18,9,914.4,15.3,18.9,16.9,15.6,90.4,74,16.6,4.7,,,,,,,,
2012-09-19,67.6,910.4,12.5,19.9,15.1,13.7,85.8,59,22.9,6,,,,,,,,
2012-09-20,.2,916.1,4.8,15,9.6,5.1,73.7,47,18.2,3.5,,,,,,,,
2012-09-21,0,918.3,5.5,15.2,10.4,7.5,73,49,9.6,1.9,,,,,,,,
2012-09-22,0,924.3,2,17,10.8,5.6,56,34,11.2,2.7,,,,,,,,
2012-09-23,0,925.6,5.4,19.6,11,4.2,71.9,31,8.3,1.9,,,,,,,,
2012-09-24,0,920.5,9.2,23.9,16.1,10.5,66.5,32,13,4.5,,,,,,,,
2012-09-25,3.2,923.2,6.4,18.8,7.7,6.9,92,60,9.8,2,,,,,,,,
2012-09-26,null,null,null,6.8,null,1,91.1,64,9.5,null,,,,,,,,
2012-09-27,2.8,932.4,6.4,14.8,8.8,1.9,86.3,50,11.1,2.1,,,,,,,,
2012-09-28,0,930.2,6.4,17.5,11,6,74.1,54,14.6,4.5,,,,,,,,
2012-09-29,0,927.2,7.6,16.6,12.6,9,72.5,59,14.1,5.3,,,,,,,,
2012-09-30,.2,921.6,11.1,24,16.6,11.3,71.2,48,11,4.5,,,,,,,,
2012-10-01,6.6,918.6,13.1,18.3,15.2,14.3,87.5,71,14.2,4.5,,,,,,,,
2012-10-02,5.8,919.7,12.7,19.9,15.8,12.4,82.5,65,9.6,3,,,,,,,,
2012-10-03,28.6,921.5,14.6,19.2,16.7,14.3,87.8,74,15.5,2.9,,,,,,,,
2012-10-04,0,923.2,15.4,20.6,16.3,15.2,94.6,70,6,1.3,,,,,,,,
2012-10-05,1.4,921.2,16.3,24.9,19.2,14.8,84.1,63,7.9,2.7,,,,,,,,
2012-10-06,0,919.8,16.4,30.1,21.9,16.2,74.2,40,13.2,4.1,,,,,,,,
2012-10-07,2.6,922.1,17.8,30.7,22.6,17.1,76.3,45,12.2,3.1,,,,,,,,
2012-10-08,7.2,922.8,16.9,22,19.2,17,87.1,65,11.7,3.3,,,,,,,,
2012-10-09,.2,918.4,15.7,24.9,18.3,16.7,85.7,50,10.2,2.5,,,,,,,,
2012-10-10,11.2,917.8,15,18.5,15.5,16.1,97.1,88,14.9,2.4,,,,,,,,
2012-10-11,41.2,924.5,10.6,13.5,11.1,10.4,97.1,87,9.5,1.6,,,,,,,,
2012-10-12,7.4,927.8,9.6,17.2,12.1,9.5,85.7,63,10.1,2.8,,,,,,,,
2012-10-13,0,927.7,8.1,20.1,13.3,8.6,72.5,46,12,4.5,,,,,,,,
2012-10-14,0,924.9,8.7,23.9,15,8.5,69.2,37,12.7,4.7,,,,,,,,
2012-10-15,0,919.9,9,25.7,16,8.4,67,30,14,5.6,,,,,,,,
2012-10-16,0,915.5,13.2,25.3,18.9,14,70.2,50,17.3,6.1,,,,,,,,
2012-10-17,0,916,11.4,21.6,17.8,14.7,67.6,42,15.4,4.1,,,,,,,,
2012-10-18,0,920.2,9,19.3,14.1,10.3,73.2,49,9,2.2,,,,,,,,
2012-10-19,0,919.6,11.2,24.2,15.9,8,75.2,38,7.8,2.5,,,,,,,,
2012-10-20,0,917.5,14.2,27,20.1,15.2,69.9,41,8.9,2.9,,,,,,,,
2012-10-21,0,915.8,16.4,23.9,19.7,16.6,82,56,8.8,2.1,,,,,,,,
2012-10-22,0,909.9,14.5,18.4,16.5,15.5,88,76,15.2,4.5,,,,,,,,
2012-10-23,50.6,909.8,11.8,24.5,18.1,14.8,72.2,27,17,6.6,,,,,,,,
2012-10-24,0,918.7,8,18.6,13.6,10.1,70.3,44,12.1,2.9,,,,,,,,
2012-10-25,0,920.7,9.3,21.1,15.4,10,67.7,48,7.7,1.5,,,,,,,,
2012-10-26,0,920.3,13.7,24.9,18.5,12.8,74.1,62,10.4,3.4,,,,,,,,
2012-10-27,0,919.4,16.9,26.2,20.5,17.2,80.4,60,10.3,3.3,,,,,,,,
2012-10-28,.2,920.8,16.2,24.8,19.8,16.8,80.4,53,6.7,1.8,,,,,,,,
2012-10-29,0,918.7,17.8,27.4,20.9,17.4,83.4,59,9.8,2.9,,,,,,,,
2012-10-30,38.4,915.4,17.7,25.4,21.3,17.6,81.2,56,17.7,4.5,,,,,,,,
2012-10-31,0,917,14,19.6,16.7,14.9,84.5,66,8.8,2.7,,,,,,,,
2012-11-01,0,918.6,12.3,20.1,15.2,12.5,83.5,61,7.4,1.4,,,,,,,,
2012-11-02,.2,919.9,12.2,22.1,15.7,9.9,81.3,54,8,2.1,,,,,,,,
2012-11-03,.2,919.4,13.9,24.2,17.3,10.5,81.7,38,7.8,2.1,,,,,,,,
2012-11-04,.2,918.8,15,22.7,17.8,13.5,84.8,57,7.4,1.9,,,,,,,,
2012-11-05,.2,919.6,12.2,24,17.7,11.6,72.9,34,7.8,2,,,,,,,,
2012-11-06,0,920.6,7.1,25.9,19,11.5,49.6,23,7.8,1.6,,,,,,,,
2012-11-07,0,920.2,10.9,26.9,19.8,13.3,58,26,7.9,2.6,,,,,,,,
2012-11-08,0,918,14.1,27.9,21.6,16.8,64.1,37,10.7,4.4,,,,,,,,
2012-11-09,0,915.7,15.7,28.3,22.3,18,67.9,42,12.2,5,,,,,,,,
2012-11-10,0,916.1,17.3,27,21.7,18.1,76.8,52,8,2.5,,,,,,,,
2012-11-11,12.2,918.2,17.9,22.8,18.8,18.3,94.4,76,8.3,1.6,,,,,,,,
2012-11-12,7.2,921,14.2,21.3,15.2,15.1,93.6,73,13.7,1.5,,,,,,,,
2012-11-13,5.8,923,11.1,16.9,11.9,10,94.3,71,8,1.5,,,,,,,,
2012-11-14,6,922.2,11.2,19.5,14,10.8,83.9,59,9,2.3,,,,,,,,
2012-11-15,0,920,11.4,21.5,15.6,11.9,76.4,47,10.7,3.3,,,,,,,,
2012-11-16,.4,921,12.3,23.4,17,12.6,75,53,10.4,3.2,,,,,,,,
2012-11-17,0,923.7,11.4,24.1,17,12.6,71.2,45,9.4,3.4,,,,,,,,
2012-11-18,0,922.4,11.4,27.1,19.1,13.6,64.8,29,10.9,3.6,,,,,,,,
2012-11-19,0,919.4,12.9,23.3,19,15.5,68.5,51,11,4,,,,,,,,
2012-11-20,0,919.1,14.8,24.7,19.8,17.4,74.1,50,8.3,1.5,,,,,,,,
2012-11-21,0,920.7,13,24.7,17.9,10.9,74.2,45,8.6,1.9,,,,,,,,
2012-11-22,0,918.4,15.2,31.6,21.9,14.7,68.3,30,11.6,4.2,,,,,,,,
2012-11-23,34.8,916.9,17.6,24.4,19.2,15,90.7,71,26.2,2.7,,,,,,,,
2012-11-24,21,917.9,15.4,18.9,16.5,15.8,93,74,8.2,1.9,,,,,,,,
2012-11-25,5.6,922.5,7,21,14.9,8.5,61.6,41,8.1,1.8,,,,,,,,
2012-11-26,0,921.9,10.5,23.7,16.7,10.4,68.2,38,9.6,2.9,,,,,,,,
2012-11-27,0,917.1,13.4,26.8,20,14.6,67.4,39,7.7,2.3,,,,,,,,
2012-11-28,0,915.4,11.2,27.2,20.2,13.7,59.7,28,8,2.5,,,,,,,,
2012-11-29,0,919.8,12.5,23.5,19.6,16,64.5,40,11.7,2.6,,,,,,,,
2012-11-30,0,920.7,15,24.7,19.8,17.5,74.3,58,12.3,5.7,,,,,,,,
2012-12-01,.4,919.6,16.2,21.4,18.7,17.7,85.7,74,10.8,3.6,,,,,,,,
2012-12-02,1.6,919.3,15,25,19.7,16.5,77,37,8.2,1.7,,,,,,,,
2012-12-03,0,918.9,15.3,29.5,21.7,14.8,69.7,37,9.1,3,,,,,,,,
2012-12-04,0,920.2,18.2,30.5,21.9,18.8,80.7,44,21.9,3,,,,,,,,
2012-12-05,1.4,918.7,18.2,26.6,21.6,18.7,81.4,58,9.8,3.1,,,,,,,,
2012-12-06,.8,915.1,18.4,30.8,23.9,17.9,73.2,46,8.4,3,,,,,,,,
2012-12-07,0,914.6,19.1,28.2,23.3,21.9,78,58,15.9,3.9,,,,,,,,
2012-12-08,1.6,919.3,15.1,22.9,18,14.5,84.2,67,7,1.3,,,,,,,,
2012-12-09,.2,920.1,12.6,26.4,19.9,13.7,66.8,33,6.4,1.3,,,,,,,,
2012-12-10,0,914.2,13.8,32.2,23.5,15.5,57.5,31,9,2.9,,,,,,,,
2012-12-11,0,911,17.5,26.5,21.6,16.9,78.5,57,17.7,4.2,,,,,,,,
2012-12-12,2.8,915,15.9,21,17.2,14.8,92.3,72,10.8,2.8,,,,,,,,
2012-12-13,2.4,916.4,16.3,22.1,18.5,15.4,87.5,67,9.3,1.9,,,,,,,,
2012-12-14,0,918.3,16.2,24,18.5,15.7,87,68,10,1.9,,,,,,,,
2012-12-15,0,916.6,16.3,26.5,20.5,15.5,77.8,61,10.5,3.1,,,,,,,,
2012-12-16,0,914.7,17.1,29.3,22.3,16,73.9,38,11.1,2.4,,,,,,,,
2012-12-17,.2,914,17.3,27.4,21.8,17.1,76.8,50,17.7,3.2,,,,,,,,
2012-12-18,0,916,18.6,27.8,21.9,16.7,83,56,9.9,2,,,,,,,,
2012-12-19,0,915.3,18.5,26.4,22.1,18.6,80.8,61,11.5,4.6,,,,,,,,
2012-12-20,0,914,18.7,32,23.4,20.4,76.6,46,20,5.9,,,,,,,,
2012-12-21,0,919.2,16.8,19.8,17.5,17.4,95.6,87,12.7,1.5,,,,,,,,
2012-12-22,37.2,923.4,14.2,23.2,17.8,12.7,80.6,57,11.9,2.8,,,,,,,,
2012-12-23,0,921.4,15.7,29.2,21.1,14.6,72.5,51,12.3,3.8,,,,,,,,
2012-12-24,0,918.1,18.9,31.1,24.7,19.1,71,46,7.9,2.9,,,,,,,,
2012-12-25,0,913.8,18.6,33.1,27.2,22.3,61.2,34,16.5,5.3,,,,,,,,
2012-12-26,0,917.1,18.2,29.2,20.5,21.2,87.7,56,12.5,2.4,,,,,,,,
2012-12-27,32.4,920.1,13.9,15.4,14.2,13.1,98,96,7.7,1.7,,,,,,,,
2012-12-28,113,917.9,14.6,17,15,13.4,97.7,92,13.1,1.9,,,,,,,,
2012-12-29,6.4,919.1,16,22.5,17.8,14.3,89.6,73,6.7,1.8,,,,,,,,
2012-12-30,0,919.7,17.7,28.1,21.5,16.4,80.1,51,8.1,3.1,,,,,,,,
2012-12-31,0,918.1,18.5,29.6,23,20,76.7,49,11,4.6,,,,,,,,
2013-01-01,18.6,917.3,15.7,22.2,17.2,15.5,91.5,81,17.9,3.6,,,,,,,,
2013-01-02,3,923.9,11.4,19.7,14,9.5,85.3,58,8.9,1.5,,,,,,,,
2013-01-03,.2,924.7,13,24.6,17.3,11.8,77.4,49,8.4,2.9,,,,,,,,
2013-01-04,0,924.2,15,27.1,19.7,14.4,76,45,10.6,3.9,,,,,,,,
2013-01-05,0,920.8,17.3,27.8,20.5,16.9,82.5,59,18.4,3.9,,,,,,,,
2013-01-06,74.6,916.9,18.1,25.2,21,17.5,83.8,68,12.8,4.3,,,,,,,,
2013-01-07,0,915.3,18.4,26.6,21.7,18.1,82.4,59,13.6,3.7,,,,,,,,
2013-01-08,29.6,914.9,18.7,21.3,19.4,18.2,95.6,90,8.6,2.5,,,,,,,,
2013-01-09,12,921.5,17.2,23.9,19.1,16.4,89.6,66,6.7,1.5,,,,,,,,
2013-01-10,.2,924.2,14.3,22.6,17.3,13.2,83.3,58,8.8,1.6,,,,,,,,
2013-01-11,0,922.2,12,21,15.7,12,79.2,62,9.1,1.9,,,,,,,,
2013-01-12,.2,919.8,12.1,23.1,16.3,11.1,77.3,53,7.8,1.9,,,,,,,,
2013-01-13,0,921.2,14.2,24.7,18.3,13.6,77.8,56,8.9,2.9,,,,,,,,
2013-01-14,0,921.1,14.9,25.4,19.4,15.1,75.7,58,9.5,3.1,,,,,,,,
2013-01-15,0,918.7,15.3,23.4,18.7,15,81.1,68,8.9,2.8,,,,,,,,
2013-01-16,0,916.6,14.2,25.6,19.7,13.8,71.3,52,8,2.5,,,,,,,,
2013-01-17,0,917.2,16,26.3,20,15,78.5,57,9.9,2.3,,,,,,,,
2013-01-18,0,917.9,16.6,21.5,18,17.3,91.2,79,8.5,1.6,,,,,,,,
2013-01-19,5.4,920.1,15,21.3,17,14.2,88.3,66,7.2,1.4,,,,,,,,
2013-01-20,4.6,923,14.3,21.6,16,13.9,90.5,67,8.7,1.7,,,,,,,,
2013-01-21,6.8,925.4,13.4,23.4,17.2,13.2,80,50,9.5,2.5,,,,,,,,
2013-01-22,0,925.1,13.4,25.5,18.3,14.1,74.7,49,11,3.9,,,,,,,,
2013-01-23,0,921.7,14,27.2,19.9,15,70.8,39,11,3.5,,,,,,,,
2013-01-24,0,916.1,16,29.1,21.6,17.2,73.3,40,16.9,3.7,,,,,,,,
2013-01-25,10.2,913.9,16.4,24.5,19.3,17.1,84.3,61,12.1,3.5,,,,,,,,
2013-01-26,4.6,919.3,11.2,19.4,14.4,11.4,82.4,55,8.1,1.4,,,,,,,,
